"Sdlg","Species","Fire","FirePatch","Ht16_meas2016.cm","Ht2017.cm","Patch","Elevation","Nearby_Easting","Nearby_Northing","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","HTLCB","Dia2016","Dia2015","Ht2015.meas2016","Note1","Note2","Note3_Light","Datasheet1_2016","Light_File","DIFN","return","Date1_2016","Date2_2016","personel2","personel1","Time1","Time2","Photo","Datasheet2_2016","ShrubSpp03","Cov1.3","Ht1.3","Years","Date2017","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea3"
"58","ABCO","AMRC","AMRC-NE",30,NA,"NE",1966,739619,4297391,17,188,0.51,3.03,0,0.37,0.46,25,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",202,0.149,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",940,48.1666666666667,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"not found",NA,NA,NA,NA,NA,NA,45276.6666666667
"61","ABCO","AMRC","AMRC-NW",29,34,"NW",1601,0,0,14,127,0.77,4.49,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",51,0.413,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",360,27.1666666666667,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","6.2","6.2","2.2999999999999998","5","4.0999999999999996",NA,9780
"62","PIPO","AMRC","AMRC-NW",52,58,"NW",1601,0,0,14,135,1.24,9.67,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",52,0.338,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",640,39.0555555555556,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","14.1","14.5","6.7","13.5","9.5",NA,24995.5555555556
"63","PIPO","AMRC","AMRC-NW",15,15,"NW",1601,0,0,14,140,0.45,2.72,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",53,0.726,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",590,32.6190476190476,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","4.8","4.5","2.2000000000000002","3.5","2.5",NA,19245.2380952381
"64","PIPO","AMRC","AMRC-NW",78,94,"NW",1601,0,0,14,140,2.69,14.95,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",54,0.292,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",490,31.5,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","37.299999999999997","40.9","21.5","23","14.6",NA,15435
"65","PIPO","AMRC","AMRC-NW",67,66,"NW",1601,0,0,14,140,1.59,16.21,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",55,0.298,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",380,39.1666666666667,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","16.600000000000001","17.2","6.9","14.4","15.9",NA,14883.3333333333
"69","PIPO","AMRC","AMRC-NW",14,18,"NW",1601,0,0,12,185,0.51,1.79,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",60,0.385,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",300,26.6666666666667,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","4.8","5.5","3.4","5","1.6",NA,8000
"71","PIPO","AMRC","AMRC-NW",29,30,"NW",1601,0,0,14,235,0.76,3.81,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",62,0.182,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",1070,54.3650793650794,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6","6.6","3.3","9.3000000000000007","3.6","top cm is dead",58170.6349206349
"72","PIPO","AMRC","AMRC-NW",23,25,"NW",1601,0,0,12,210,0.78,3.94,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",63,0.427,"0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",810,48.6111111111111,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","7.3","7.6","5.6","4.8",NA,"leader died in 2015, so no 2015 growth measurement taken",39375
"73","ABCO","AMRC","AMRC-2",55,61,"2",1672,0,0,21,299,1.06,10.26,0,0.55,0.68,37,"","","returned on July 21, 2016","Data_Sheet_AMRC_NW_JUN_22_1",64,0.088,"0",2016-06-22,9999-09-09,"0","CT vf ",13:31:00,01:00:00,"0","NA","CECO",1170,75.6666666666667,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","7.8","7.5","8.1","7.6","8.8000000000000007",NA,88530
