"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"246",45.0420168067227,"CECO",1190,45.0420168067227,223,0.313,"AMRC-NE","ABCO",0,"20160720 06:46:42",1.57,0.354
"247",45.0420168067227,"CECO",1190,45.0420168067227,224,0.067,"AMRC-NE","ABCO",0,"20160720 06:49:35",4.08,0.078
"248",48.2407407407407,"CECO",1080,48.2407407407407,225,0.114,"AMRC-NE","ABCO",0,"20160720 06:54:34",3.21,0.134
"249",48.2407407407407,"CECO",1080,48.2407407407407,226,0.146,"AMRC-NE","ABCO",0,"20160720 06:56:42",2.73,0.169
"250",73.6486486486486,"ARPA",740,73.6486486486486,227,0.496,"AMRC-3","ABCO",0,"20160721 05:26:16",0.9,0.556
"251",56.8333333333333,"CECO",600,56.8333333333333,228,0.407,"AMRC-3","PIPO",0,"20160721 05:29:51",1.48,0.383
"252",58.4375,"ARPA",640,58.4375,229,0.353,"AMRC-3","ABCO",0,"20160721 05:31:33",1.57,0.374
"253",68.7341772151899,"CECO",790,68.7341772151899,230,0.371,"AMRC-3","ABCO",0,"20160721 05:35:34",1.4,0.391
"254",68.7341772151899,"CECO",790,68.7341772151899,231,0.369,"AMRC-3","ABCO",0,"20160721 05:38:26",1.43,0.385
"255",84.4943820224719,"CECO",890,84.4943820224719,232,0.098,"AMRC-3","ABCO",0,"20160721 05:40:43",3.34,0.116
"256",77.0422535211268,"CECO",710,77.0422535211268,233,0.13,"AMRC-3","ABCO",0,"20160721 05:44:32",3.02,0.132
"257",73.2051282051282,"CECO",780,73.2051282051282,234,0.328,"AMRC-3","ABCO",0,"20160721 05:46:58",1.53,0.359
"258",65,"CECO",880,65,235,0.302,"AMRC-3","ABCO",0,"20160721 05:49:45",1.78,0.306
"259",43.9759036144578,"CECO",830,43.9759036144578,236,0.19,"AMRC-3","PIPO",0,"20160721 05:53:25",2.41,0.201
"26",178.333333333333,"CEIN",1200,178.333333333333,254,0.332,"FRDS-A","PIPO",0,"20160728 05:43:22",1.57,0.361
"260",53.0769230769231,"ARPA",780,53.0769230769231,237,0.52,"AMRC-3","PIPO",0,"20160721 05:56:24",0.85,0.589
"262",54.6808510638298,"CECO",940,54.6808510638298,239,0.57,"AMRC-3","PIPO",0,"20160721 06:02:02",0.7,0.629
"263",70.3921568627451,"CECO",1020,70.3921568627451,241,0.198,"AMRC-3","ABCO",0,"20160721 06:06:50",2.35,0.221
"264",75.979381443299,"ARPA",970,75.979381443299,242,0.227,"AMRC-3","ABCO",0,"20160721 06:09:58",2.21,0.257
