"Sdlg","Species","Fire","FirePatch","Ht2016.cm","Ht2017.cm","Elevation","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","Genus","ShrG1","IAG","Years","Date","LAI","DIFN.53","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea1","shrubarea2","shrubarea3","soil_type_dom","soil_series","soil_order","soil_suborder"
"180","PIPO","STAR","STAR-S",192,199,NA,7,31,4.9,11.62,"142",0.121,"PREM",230,"CECO","CECO","CECO",430,410,380,137.5,132.222222222222,140,840,1220,134.861111111111,136.574074074074,"Pinus","Ceanothus","Other",38,"20160707 05:26:27",3.15,0.124,NA,NA,"DONE","52.6","50.2","13.5","19.899999999999999","11.6",NA,59125,113283.333333333,166620.37037037,"Ahart","ACF","Andisol","Xerand"
"182","ABCO","STAR","STAR-S",66,78,1634,11,56,1.47,6.75,"143",0.192,"ARPA",180,"ARPA","CECO","CECO",770,630,400,103.529411764706,105.714285714286,115.714285714286,1400,1800,104.621848739496,108.319327731092,"Abies","Arcto","Arcto",38,"20160707 05:38:28",2.38,0.223,NA,NA,"DONE","11.1","11.2","11.3","12","7.4",NA,79717.6470588236,146470.588235294,194974.789915966,"Ahart","ACF","Andisol","Xerand"
"185","ABCO","STAR","STAR-S",125,115,1634,9,27,2.89,10.49,"146",0.094,"willow",185,"willow","conifer","willow",610,490,350,125,125,123.75,1100,1450,125,124.583333333333,"Abies","Other","Other",38,"20160707 06:03:56",3.39,0.103,NA,NA,"DONE","29.2","27.2","NA","NA","10.1","top dead and missing after 2015 growth, ht is lower for that reason",76250,137500,180645.833333333,"Ahart","ACF","Andisol","Xerand"
"186","ABCO","STAR","STAR-S",135,156,1634,9,27,2.65,12.69,"147",0.063,"willow",157,"willow","conifer","willow",610,490,350,125,125,123.75,1100,1450,125,124.583333333333,"Abies","Other","Other",38,"20160707 06:07:09",4.05,0.067,NA,NA,"DONE","30.9","30.6","12.5","21.4","11.8","checked ht",76250,137500,180645.833333333,"Ahart","ACF","Andisol","Xerand"
"189","ABCO","STAR","STAR-S",65,74,1634,11,56,1.54,5.87,"",NA,"ARPA",180,"ARPA","CECO","CECO",770,630,400,103.529411764706,105.714285714286,115.714285714286,1400,1800,104.621848739496,108.319327731092,"Abies","Arcto","Arcto",38,NA,NA,NA,NA,NA,"DONE","12.7","12.5","8.5","8.1999999999999993","6.2",NA,79717.6470588236,146470.588235294,194974.789915966,"Ahart","ACF","Andisol","Xerand"
"194","PIPO","FRDS","FRDS-SE",67,76,1366,19,220,2.63,7.42,"163",0.733,"none",0,"CHFO","CHFO","CHFO",140,320,290,27.5,58,120,460,750,42.75,68.5,"Pinus","CHFO","Other",35,"20160708 06:18:21",0.37,0.791,NA,"Freds Aerial SE","DONE","30.6","30.8","10.7","16.600000000000001","8.8000000000000007",NA,3850,19665,51375,"0","108","Inceptisol","Xerept"
"195","PIPO","FRDS","FRDS-SE",182,NA,1366,20,187,3.2,20.3,"166",0.175,"other",250,"other","other","other",390,330,300,137.142857142857,125,132,720,1020,131.071428571429,131.380952380952,"Pinus","Other","Other",35,"20160708 07:01:36",2.43,0.204,NA,"Freds Aerial SE","DEAD",NA,NA,NA,NA,"0.630.810.716.68.8","DEAD",53485.7142857142,94371.4285714289,134008.571428571,"0","108","Inceptisol","Xerept"
"196","PIPO","FRDS","FRDS-SE",60,71,1366,15,220,1.72,18.03,"168",0.786,"none",0,"CHFO","CHFO","CHFO",150,180,140,27.5,25,20,330,470,26.25,24.1666666666667,"Pinus","CHFO","Other",35,"20160708 07:15:43",0.22,0.864,NA,"Freds Aerial SE","unsure","15.9","16.8","4.9000000000000004","17.3","8.1999999999999993","unsure if this is really 196",4125,8662.5,11358.3333333333,"0","108","Inceptisol","Xerept"
"197","PIPO","FRDS","FRDS-SE",158,211,1366,18,185,6.55,31.1,"",NA,"none",0,"CHFO","CHFO","CHFO",220,150,190,44,37.5,64,370,560,40.75,48.5,"Pinus","CHFO","Other",35,NA,NA,NA,NA,"Freds Aerial SE","DONE","3.22 in","3.53 in","53","25.5","21.7",NA,9680,15077.5,27160,"0","108","Inceptisol","Xerept"
"198","PIPO","FRDS","FRDS-SE",88,104,1366,15,197,2.47,13.05,"",NA,"none",0,"CHFO","CHFO","CHFO",280,280,220,32.5,42,70,560,780,37.25,48.1666666666667,"Pinus","CHFO","Other",35,NA,NA,NA,NA,"Freds Aerial SE","DONE","1.10 in","1.22 in","14.7","18.600000000000001","13.9",NA,9100,20860,37570,"0","108","Inceptisol","Xerept"
"202","ABCO","AMCR","AMCR-2",61,60,1672,19,265,1.38,4.57,"169",0.291,"CECO",69,"CECO","CECO","CECO",410,380,400,68.3333333333333,85.7142857142857,98.3333333333333,790,1190,77.0238095238095,84.1269841269841,"Abies","Ceanothus","Ceanothus",8,"20160719 05:39:32",1.65,0.333,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","11.5","11.4","1.7","4.4000000000000004","5.0999999999999996","top may have broken",28016.6666666667,60848.8095238095,100111.111111111,"0","HUG","Inceptisol","Xerept"
"203","ABCO","AMCR","AMCR-2",39,41,1672,19,265,1.29,5.31,"170",0.167,"CECO",110,"CECO","CECO","CECO",410,380,400,68.3333333333333,85.7142857142857,98.3333333333333,790,1190,77.0238095238095,84.1269841269841,"Abies","Ceanothus","Ceanothus",8,"20160719 05:43:00",2.5,0.187,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","17.5","17.5","3.9","6.6","1.7",NA,28016.6666666667,60848.8095238095,100111.111111111,"0","HUG","Inceptisol","Xerept"
"204","ABCO","AMCR","AMCR-2",39,42,1672,24,NA,1.1,3.54,"171",0.117,"ARPA",120,"PREM","CECO","CECO",430,440,390,95,98.3333333333333,104.285714285714,870,1260,96.6666666666667,99.2063492063492,"Abies","Other","Arcto",8,"20160719 05:46:54",3.17,0.137,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","8.5","8.6","3.5","4.5","3.8",NA,40850,84100,125000,"0","HUG","Inceptisol","Xerept"
"205","PIPO","AMCR","AMCR-2",56,67,1672,16,273,1.58,8.69,"172",0.129,"CECO",76,"CECO","CECO","CECO",430,370,400,62.8571428571429,72,85,800,1200,67.4285714285714,73.2857142857143,"Pinus","Ceanothus","Ceanothus",8,"20160719 05:51:37",2.9,0.15,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","10.8","11.7","8.6","16.5","9.8000000000000007",NA,27028.5714285714,53942.8571428571,87942.8571428572,"0","HUG","Inceptisol","Xerept"
"206","ABCO","AMCR","AMCR-2",27,34,1672,16,273,0.74,5.96,"173",0.199,"CECO",60,"CECO","CECO","CECO",430,370,400,62.8571428571429,72,85,800,1200,67.4285714285714,73.2857142857143,"Abies","Ceanothus","Ceanothus",8,"20160719 05:54:44",2.25,0.235,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","6.1","6.5","3.7","4.0999999999999996","4.7","might not be same tree as last year but is definitely very nearby, within 10 cm",27028.5714285714,53942.8571428571,87942.8571428572,"0","HUG","Inceptisol","Xerept"
"207","PIPO","AMCR","AMCR-2",77,83,1672,17,268,2.28,14.37,"174",0.601,"none",0,"CECO","CECO","CECO",360,390,380,52.8571428571429,70,78.5714285714286,750,1130,61.4285714285714,67.1428571428572,"Pinus","Ceanothus","Other",8,"20160719 05:58:44",0.65,0.663,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","25.1","25.2","10","15.3","13.3",NA,19028.5714285714,46071.4285714286,75871.4285714286,"0","HUG","Inceptisol","Xerept"
"208","ABCO","AMCR","AMCR-2",45,40,1672,17,268,0.92,4.51,"175",0.348,"CECO",55,"CECO","CECO","CECO",360,390,380,52.8571428571429,70,78.5714285714286,750,1130,61.4285714285714,67.1428571428572,"Abies","Ceanothus","Ceanothus",8,"20160719 06:00:52",1.37,0.412,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","8.5","8.76","0","6","4.4000000000000004","top 1 cm dead",19028.5714285714,46071.4285714286,75871.4285714286,"0","HUG","Inceptisol","Xerept"
"209","PIPO","AMCR","AMCR-2",100,113,1672,17,268,2.98,13.61,"176",0.535,"none",0,"CECO","CECO","CECO",270,220,360,58.3333333333333,57.5,72.8571428571429,490,850,57.9166666666667,62.8968253968254,"Pinus","Ceanothus","Other",8,"20160719 06:04:32",0.9,0.638,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","33.200000000000003","33.6","9.8000000000000007","14.2","15.5",NA,15750,28379.1666666667,53462.3015873016,"0","HUG","Inceptisol","Xerept"
"210","ABCO","AMCR","AMCR-2",40,32,1672,17,268,1.02,4.26,"177",0.277,"ARPA",45,"CECO","CECO","CECO",280,270,310,42,46,62.5,550,860,44,50.1666666666667,"Abies","Ceanothus","Arcto",8,"20160719 06:06:54",2.04,0.316,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","8.1999999999999993","7.8","3","2.9","2.8","top died after bud set 2017",11760,24200,43143.3333333334,"0","HUG","Inceptisol","Xerept"
"211","PIPO","AMCR","AMCR-2",77,84,1672,18,257,2,13.07,"178",0.506,"none",0,"CECO","CECO","CECO",400,360,400,65,63.3333333333333,68,760,1160,64.1666666666667,65.4444444444444,"Pinus","Ceanothus","Other",8,"20160719 06:10:55",0.91,0.57,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","17.899999999999999","17","7.5","17.399999999999999","14.2",NA,26000,48766.6666666667,75915.5555555555,"0","HUG","Inceptisol","Xerept"
"212","ABCO","AMCR","AMCR-2",35,41,1672,15,278,1.39,3.3,"179",0.446,"CECO",73,"CECO","CECO","CECO",300,350,380,75,82,82,650,1030,78.5,79.6666666666667,"Abies","Ceanothus","Ceanothus",8,"20160719 06:13:56",1.17,0.464,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","14","13.7","5.7","5.9","4.3",NA,22500,51025,82056.6666666667,"0","HUG","Inceptisol","Xerept"
"213","ABCO","AMCR","AMCR-2",38,41,1672,15,278,1.37,6.77,"180",0.255,"CECO",73,"CECO","CECO","CECO",300,350,380,75,82,82,650,1030,78.5,79.6666666666667,"Abies","Ceanothus","Ceanothus",8,"20160719 06:16:27",2.04,0.255,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","13.1","12","6.6","8.9","7.9",NA,22500,51025,82056.6666666667,"0","HUG","Inceptisol","Xerept"
"214","PIPO","AMCR","AMCR-2",72,78,1672,16,284,1.59,14.76,"181",0.548,"none",0,"CECO","CECO","CECO",370,370,400,66,67.1428571428571,78.5714285714286,740,1140,66.5714285714286,70.5714285714286,"Pinus","Ceanothus","Other",8,"20160719 06:18:59",0.81,0.594,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","15.6","14.7","10","16.600000000000001","14.4",NA,24420,49262.8571428572,80451.4285714286,"0","HUG","Inceptisol","Xerept"
"215","PIPO","AMCR","AMCR-2",78,90,1672,15,272,2.64,12.02,"182",0.188,"CECO",87,"CECO","CECO","CECO",440,370,340,63.75,95,86.25,810,1150,79.375,81.6666666666667,"Pinus","Ceanothus","Ceanothus",8,"20160719 06:21:38",2.62,0.181,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","24.5","25.6","11.7","2.6",NA,"2015 growth broke off, go with measurement from last year for 2015 growth",28050,64293.75,93916.6666666667,"0","HUG","Inceptisol","Xerept"
"216","ABCO","AMCR","AMCR-2",51,64,1672,19,287,1.46,6.68,"183",0.358,"CECO",60,"CECO","CECO","CECO",370,340,310,60,70,72.5,710,1020,65,67.5,"Abies","Ceanothus","Ceanothus",8,"20160719 06:24:36",1.41,0.415,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","12.9","13.5","6.6","10.1","8.1999999999999993",NA,22200,46150,68850,"0","HUG","Inceptisol","Xerept"
"217","ABCO","AMCR","AMCR-2",73,82,1672,19,287,1.5,13.33,"184",0.347,"none",0,"CECO","CECO","CECO",370,340,310,60,70,72.5,710,1020,65,67.5,"Abies","Ceanothus","Other",8,"20160719 06:27:16",1.53,0.376,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","15.1","16.8","10.199999999999999","6.7","5.4",NA,22200,46150,68850,"0","HUG","Inceptisol","Xerept"
"218","ABCO","AMCR","AMCR-2",64,72,1672,22,277,1.99,7.6,"185",0.185,"CECO",75,"CECO","CECO","CECO",360,200,370,87.5,50,85,560,930,68.75,74.1666666666667,"Abies","Ceanothus","Ceanothus",8,"20160719 06:30:49",2.54,0.203,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","16.2","16.399999999999999","8.6","6.9","9.9","originally in CT notebook",31500,38500,68975,"0","HUG","Inceptisol","Xerept"
"219","PIPO","AMCR","AMCR-2",16,21,1672,22,277,0.75,1.87,"186",0.343,"CECO",85,"CECO","CECO","CECO",280,300,370,87.5,62,75,580,950,74.75,74.8333333333333,"Pinus","Ceanothus","Ceanothus",8,"20160719 06:34:05",1.87,0.312,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","4.9000000000000004","4.5999999999999996","5.8","2.6","5.2","originally in CT notebook",24500,43355,71091.6666666666,"0","HUG","Inceptisol","Xerept"
"220","PIPO","AMCR","AMCR-2",115,122,NA,24,262,3.04,17.12,"187",0.515,"none",0,"CECO","CECO","CECO",450,420,400,93.3333333333333,88.3333333333333,93.3333333333333,870,1270,90.8333333333333,91.6666666666667,"Pinus","Ceanothus","Other",8,"20160719 06:39:16",1.04,0.502,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","30.1","27.7","5.5","20.6","18.3",NA,42000,79025,116416.666666667,"0","HUG","Inceptisol","Xerept"
"221","ABCO","AMCR","AMCR-2",80,90,NA,22,257,1.8,14.44,"188",0.625,"none",0,"CECO","CECO","CECO",260,390,360,67.5,82,84,650,1010,74.75,77.8333333333333,"Abies","Ceanothus","Other",8,"20160719 06:45:56",0.58,0.688,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","20.6","18.100000000000001","9","9.4","15.5",NA,17550,48587.5,78611.6666666666,"0","HUG","Inceptisol","Xerept"
"222","PIPO","AMCR","AMCR-2",96,106,NA,20,282,2.71,16.75,"189",0.203,"none",0,"CECO","CECO","CECO",330,320,340,62,73.3333333333333,65,650,990,67.6666666666667,66.7777777777778,"Pinus","Ceanothus","Other",8,"20160719 06:51:57",2.29,0.221,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","27.9","31","11","28.5","29.2",NA,20460,43983.3333333334,66110,"0","HUG","Inceptisol","Xerept"
"223","ABCO","AMCR","AMCR-2",37,39,NA,21,275,1.44,3.3,"190",0.321,"CECO",60,"CECO","CECO","CECO",330,340,390,58,73.3333333333333,76,670,1060,65.6666666666667,69.1111111111111,"Abies","Ceanothus","Ceanothus",8,"20160719 06:56:01",1.59,0.357,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","11.2","12.3","2.2999999999999998","1.8","1.3",NA,19140,43996.6666666667,73257.7777777778,"0","HUG","Inceptisol","Xerept"
"224","ABCO","AMCR","AMCR-2",33,32,NA,21,275,1.18,2.76,"191",0.535,"CECO",60,"CECO","CECO","CECO",330,340,390,58,73.3333333333333,76,670,1060,65.6666666666667,69.1111111111111,"Abies","Ceanothus","Ceanothus",8,"20160719 06:58:48",0.76,0.628,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","10.1","10.5","2.2000000000000002","2.1","1",NA,19140,43996.6666666667,73257.7777777778,"0","HUG","Inceptisol","Xerept"
"225","ABCO","AMCR","AMCR-2",62,79,NA,17,280,1.84,8.66,"192",0.38,"CECO",95,"CECO","CECO","CECO",340,380,350,64,54.2857142857143,82.5,720,1070,59.1428571428571,66.9285714285714,"Abies","Ceanothus","Ceanothus",8,"20160719 07:01:54",1.37,0.421,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","17.5","17.7","12.9","15.2","10",NA,21760,42582.8571428571,71613.5714285714,"0","HUG","Inceptisol","Xerept"
"226","ABCO","AMCR","AMCR-2",42,40,NA,11,282,1.64,2.72,"193",0.44,"none",0,"CECO","CECO","CECO",150,320,400,52.5,65,74,470,870,58.75,63.8333333333333,"Abies","Ceanothus","Other",8,"20160719 07:07:01",1.21,0.465,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","16.5","16.600000000000001",NA,NA,"3.7","no current leader; no 2017 or 2016 growth measurements taken",7875,27612.5,55535,"0","MCE","Andisol","Xerand"
"227","ABCO","AMCR","AMCR-NE",53,62,1951,16,166,1.49,3.42,"203",0.503,"CECO",70,"CECO","CECO","CECO",380,340,300,55,66.6666666666667,48,720,1020,60.8333333333333,56.5555555555556,"Abies","Ceanothus","Ceanothus",8,"20160720 05:49:44",0.86,0.58,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","18","16.8","6.3","5.3","4.4000000000000004",NA,20900,43800,57686.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"228","ABCO","AMCR","AMCR-NE",84,86,1951,16,166,1.99,6.06,"204",0.498,"none",0,"CECO","CECO","CECO",380,340,300,55,66.6666666666667,48,720,1020,60.8333333333333,56.5555555555556,"Abies","Ceanothus","Other",8,"20160720 05:52:37",0.9,0.554,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","20.6","20.9","6.7","6.9","6.9",NA,20900,43800,57686.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"229","ABCO","AMCR","AMCR-NE",42,NA,1951,18,197,1.45,0.85,"205",0.166,"CECO",84,"CECO","CECO","CECO",470,450,400,70,71.6666666666667,67.5,920,1320,70.8333333333333,69.7222222222222,"Abies","Ceanothus","Ceanothus",8,"20160720 05:58:30",2.5,0.198,"Shrubs_Summer17_AMRC_2_Sep11",NA,"not found",NA,NA,NA,NA,NA,NA,32900,65166.6666666666,92033.3333333333,"Smokey","SMG","Inceptisol","Xerept"
"230","ABCO","AMCR","AMCR-NE",48,64,1951,17,197,1.98,2.5,"206",0.432,"none",0,"ARPA","ARPA","ARPA",160,300,300,62,61.4285714285714,66,460,760,61.7142857142857,63.1428571428571,"Abies","Arcto","Other",8,"20160720 06:02:50",1.14,0.517,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","20.8","20.9","16.2","5.3","3.9",NA,9920,28388.5714285714,47988.5714285714,"Smokey","SMG","Inceptisol","Xerept"
"231","ABCO","AMCR","AMCR-NE",50,64,1951,17,197,1.31,9.35,"207",0.305,"ARPA",54,"ARPA","ARPA","ARPA",160,300,300,62,61.4285714285714,66,460,760,61.7142857142857,63.1428571428571,"Abies","Arcto","Arcto",8,"20160720 06:04:46",1.65,0.358,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","14.9","14","9.4","10.9","10.6",NA,9920,28388.5714285714,47988.5714285714,"Smokey","SMG","Inceptisol","Xerept"
"232","ABCO","AMCR","AMCR-NE",55,65,1951,17,197,0.89,6.6,"208",0.095,"ARPA",101,"ARPA","ARPA","ARPA",390,250,230,75,70,53.3333333333333,640,870,72.5,66.1111111111111,"Abies","Arcto","Arcto",8,"20160720 06:06:31",3.36,0.105,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","9.6","9.1999999999999993","3.7","6.2","7.7",NA,29250,46400,57516.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"233","ABCO","AMCR","AMCR-NE",37,41,1951,16,190,0.89,8.74,"209",0.158,"ARPA",42,"ARPA","QUVA","QUVA",310,260,370,50,50,50,570,940,50,50,"Abies","Arcto","Arcto",8,"20160720 06:10:03",2.62,0.186,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","6.5","6.9","1.5","6.5","9.8000000000000007",NA,15500,28500,47000,"Smokey","SMG","Inceptisol","Xerept"
"234","PIPO","AMCR","AMCR-NE",35,40,1951,20,197,1.51,3.39,"210",0.183,"none",0,"QUVA","QUVA","QUVA",200,220,190,17.5,24,40,420,610,20.75,27.1666666666667,"Pinus","Quercus","Other",8,"20160720 06:13:02",2.77,0.221,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","15.5","14","7","3.8","6.2",NA,3500,8715,16571.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"235","ABCO","AMCR","AMCR-NE",32,30,1951,20,197,1.55,3.89,"211",0.625,"ARPA",55,"ARPA","ARPA","ARPA",280,350,200,42,44,33.3333333333333,630,830,43,39.7777777777778,"Abies","Arcto","Arcto",8,"20160720 06:14:44",0.58,0.679,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","13.5","13.3","2","3.8","3.2",NA,11760,27090,33015.5555555556,"Smokey","SMG","Inceptisol","Xerept"
"236","ABCO","AMCR","AMCR-NE",32,35,1951,20,197,1.11,3.98,"212",0.42,"ARPA",61,"ARPA","ARPA","ARPA",280,350,200,42,44,33.3333333333333,630,830,43,39.7777777777778,"Abies","Arcto","Arcto",8,"20160720 06:16:31",1.18,0.457,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","9","9","1.8","4.8","4.9000000000000004",NA,11760,27090,33015.5555555556,"Smokey","SMG","Inceptisol","Xerept"
"237","PIPO","AMCR","AMCR-NE",62,56,1951,18,198,1.28,7.44,"213",0.549,"none",0,"QUVA","QUVA","QUVA",410,260,260,52.2222222222222,53.3333333333333,45.7142857142857,670,930,52.7777777777778,50.4232804232804,"Pinus","Quercus","Other",8,"20160720 06:19:52",0.75,0.625,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","9.4","9.8000000000000007","14","7","9.5","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:36 pm (9/11/17)",21411.1111111111,35361.1111111111,46893.6507936508,"Smokey","SMG","Inceptisol","Xerept"
"238","PIPO","AMCR","AMCR-NE",61,56,1951,18,198,1.62,10.34,"214",0.45,"none",0,"QUVA","QUVA","QUVA",410,260,260,52.2222222222222,53.3333333333333,45.7142857142857,670,930,52.7777777777778,50.4232804232804,"Pinus","Quercus","Other",8,"20160720 06:21:33",1.06,0.529,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","12","12.9","7.6","9.3000000000000007","9.6999999999999993","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:35 pm (9/11/17)",21411.1111111111,35361.1111111111,46893.6507936508,"Smokey","SMG","Inceptisol","Xerept"
"239","PIPO","AMCR","AMCR-NE",46,49,1951,17,187,1.62,7.98,"215",0.627,"ARPA",50,"ARPA","ARPA","ARPA",220,370,350,62,77.5,82.5,590,940,69.75,74,"Pinus","Arcto","Arcto",8,"20160720 06:23:55",0.6,0.688,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","15.9","15.5","6.2","2.4","4.9000000000000004",NA,13640,41152.5,69560,"Smokey","SMG","Inceptisol","Xerept"
"240","ABCO","AMCR","AMCR-NE",56,51,1951,17,187,1.66,2.77,"216",0.454,"ARPA",90,"ARPA","ARPA","ARPA",360,350,330,64,62,56,710,1040,63,60.6666666666667,"Abies","Arcto","Arcto",8,"20160720 06:25:36",1.2,0.452,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","14","14.8","2.5","2.6","6.7","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:24 pm (9/11/17)",23040,44730,63093.3333333334,"Smokey","SMG","Inceptisol","Xerept"
"241","PIPO","AMCR","AMCR-NE",48,40,1951,17,187,0.98,6.74,"217",0.215,"ARPA",82,"ARPA","ARPA","ARPA",400,190,220,72,54,40,590,810,63,55.3333333333333,"Pinus","Arcto","Arcto",8,"20160720 06:27:42",2.18,0.238,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","8.8000000000000007","8.9","9.3000000000000007","6","6.7","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:07 pm (9/11/17)",28800,37170,44820,"Smokey","SMG","Inceptisol","Xerept"
"242","ABCO","AMCR","AMCR-NE",32,29,1940,20,196,0.93,2.03,"218",0.223,"ARPA",70,"ARPA","ARPA","ARPA",350,350,210,65,52.5,31.6666666666667,700,910,58.75,49.7222222222222,"Abies","Arcto","Arcto",8,"20160720 06:32:48",2.17,0.249,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6.2","6.4","0.9","1.6","0.5",NA,22750,41125,45247.2222222222,"Smokey","SMG","Inceptisol","Xerept"
"243","ABCO","AMCR","AMCR-NE",28,26,1940,20,196,1.13,3.15,"219",0.28,"ARPA",65,"ARPA","ARPA","ARPA",350,350,210,65,52.5,31.6666666666667,700,910,58.75,49.7222222222222,"Abies","Arcto","Arcto",8,"20160720 06:34:54",1.9,0.301,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","7.2","8.6","1.8","5","1.8",NA,22750,41125,45247.2222222222,"Smokey","SMG","Inceptisol","Xerept"
"244","PIPO","AMCR","AMCR-NE",22,20,1940,20,196,0.89,1.28,"220",0.481,"ARPA",39,"ARPA","ARPA","ARPA",160,300,260,55,54,54,460,720,54.5,54.3333333333333,"Pinus","Arcto","Arcto",8,"20160720 06:37:30",0.95,0.539,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","7.2","6.5","4","3.2","1",NA,8800,25070,39120,"Smokey","SMG","Inceptisol","Xerept"
"245","ABCO","AMCR","AMCR-NE",45,45,1940,16,202,0.7,9.35,"221",0.086,"CHSE",66,"CHSE","CHSE","CECO",400,330,300,56.6666666666667,48.3333333333333,46.6666666666667,730,1030,52.5,50.5555555555556,"Abies","CHSE","CHSE",8,"20160720 06:40:41",3.57,0.096,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6.6","6.7","3.1","7.9","9.3000000000000007",NA,22666.6666666667,38325,52072.2222222223,"Smokey","SMG","Inceptisol","Xerept"
"246","ABCO","AMCR","AMCR-NE",65,65,1940,18,192,1.51,9.73,"223",0.313,"none",0,"CECO","CECO","CECO",430,400,390,40,42,58,830,1220,41,46.6666666666667,"Abies","Ceanothus","Other",8,"20160720 06:46:42",1.57,0.354,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","14.1","15.1","5","9.6","10",NA,17200,34030,56933.3333333334,"Smokey","SMG","Inceptisol","Xerept"
"247","ABCO","AMCR","AMCR-NE",34,35.8,1940,18,192,0.94,2.11,"224",0.067,"CECO",42,"CECO","CECO","CECO",420,400,390,42,42,58,820,1210,42,47.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160720 06:49:35",4.08,0.078,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","7.4","6.8","0.4","2.8","2.6",NA,17640,34440,57273.3333333333,"Smokey","SMG","Inceptisol","Xerept"
"248","ABCO","AMCR","AMCR-NE",37,36,1940,18,202,0.68,2.63,"225",0.114,"CECO",52,"CECO","CECO","CECO",370,320,390,52.5,45,47.5,690,1080,48.75,48.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160720 06:54:34",3.21,0.134,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","5.2","4.4000000000000004","3.4","4.4000000000000004","2.9",NA,19425,33637.5,52200,"Smokey","SMG","Inceptisol","Xerept"
