COMP	DATE	TIME	SEEDLING	SPECIES	HEIGHT	DEAD_ALIVE	BAS_DIA_1_mm	BAS_DIA_2_mm	LAST_YR_GR_cm	MINUS_1_GR_cm	MINUS_2_GR_cm	PERC_NEEDLES	NEEDLE_COLOR	BARK	BUDS	Growing?	SUPPRESSED	NOTES	Cut_at_bottom	DEAD	PAIR	death_year
180	8/16/2017	NA	125B	PIPO	84	ALIVE	11.4	11.4	3.3	4.5	4.7	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	125	2015
180	8/22/2017	NA	127B	ABCO	16	ALIVE	2.4	2.4	2.4	2.3	3.1	NA	NA	NA	NA	NA	Y	NA	NA	0	127	2017
180	8/22/2017	NA	128B	ABCO	68	ALIVE	9	8.8	5.7	7.7	10.1	NA	NA	NA	NA	NA	yes	NA	NA	0	128	2015
180	8/22/2017	NA	129B	ABCO	53	ALIVE	7.5	7.7	4.3	5.6	6.4	NA	NA	NA	NA	NA	yes	NA	NA	0	129	2015
180	8/17/2017	NA	12B	PIPO	66	ALIVE	7.9	7.5	5.7	5	9.2	NA	NA	NA	NA	NA	YES	NA	NA	0	12	2015
180	8/22/2017	NA	130B	ABCO	43	ALIVE	6.7	6.8	3.3	4.5	7	NA	NA	NA	NA	NA	yes	NA	NA	0	130	2015
180	8/22/2017	NA	131B	ABCO	80	ALIVE	13.5	14	7.4	6.8	7.8	NA	NA	NA	NA	NA	yes	NA	NA	0	131	2016
180	8/22/2017	NA	132B	ABCO	57	ALIVE	10.4	9.6	5.8	7.3	9.9	NA	NA	NA	NA	NA	yes	NA	NA	0	132	2017
180	8/23/2017	NA	137B	ABCO	74	ALIVE	10.5	11	4.1	4.6	2.5	NA	NA	NA	NA	NA	yes	NA	NA	0	137	2017
180	8/17/2017	NA	139B	ABCO	60	ALIVE	10	9.1	4.8	6.9	6.1	NA	NA	NA	NA	NA	YES	NA	NA	0	139	2017
180	8/17/2017	NA	13B	PIPO	74	ALIVE	13.5	13.9	9.5	15.3	15.1	NA	NA	NA	NA	NA	YES	NA	NA	0	13	2016
180	8/22/2017	NA	141B	ABCO	53	ALIVE	9.5	9.5	9.9	7.7	9.8	NA	NA	NA	NA	NA	yes	NA	NA	0	141	2015
180	8/16/2017	NA	142B	PIPO	69	ALIVE	11.1	11.5	9.9	10.9	10.2	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	142	2016
180	8/16/2017	NA	144B	PIPO	47	ALIVE	7	6.8	4.7	7.9	8.9	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	144	2016
180	8/17/2017	NA	14B	PIPO	51	ALIVE	13.6	13.4	15	6.3	6.5	NA	NA	NA	NA	NA	YES	NA	NA	0	14	2016
180	8/17/2017	NA	150B	PIPO	67	ALIVE	14.5	14.2	2.9	3.1	5.8	NA	NA	NA	NA	NA	YES	NA	NA	0	150	2015
180	8/17/2017	NA	151B	PIPO	100	ALIVE	11.1	11.1	12.7	12.8	12.5	NA	NA	NA	NA	NA	YES	NA	NA	0	151	2016
180	8/17/2017	NA	152B	PIPO	55	ALIVE	8	7.6	6.8	6.4	8.2	NA	NA	NA	NA	NA	YES	NA	NA	0	152	2017
180	8/17/2017	NA	153B	PIPO	47	ALIVE	5.2	5.3	5.7	6.2	6.6	NA	NA	NA	NA	NA	YES	NA	NA	0	153	2016
180	8/17/2017	NA	154B	PIPO	44	ALIVE	7.7	7.4	6.8	4.6	6.6	NA	NA	NA	NA	NA	YES	NA	NA	0	154	2015
180	8/17/2017	NA	157B	PIPO	39	ALIVE	5.4	5.4	7.1	7.4	8.7	NA	NA	NA	NA	NA	YES	NA	NA	0	157	2016
180	8/17/2017	NA	158B	PIPO	151	ALIVE	6.4	5.9	10.7	9.3	13.5	NA	NA	NA	NA	NA	YES	NA	NA	0	158	2016
180	8/17/2017	NA	159B	PIPO	27	ALIVE	4.3	4.2	3.6	5.9	5.1	NA	NA	NA	NA	NA	YES	NA	NA	0	159	2016
180	8/17/2017	NA	15B	PIPO	86	ALIVE	9.6	10.1	14.2	13.5	15.8	NA	NA	NA	NA	NA	YES	NA	NA	0	15	2017
180	8/17/2017	NA	160B	PIPO	69	ALIVE	8.5	8.9	9.1	6.6	5.3	NA	NA	NA	NA	NA	YES	NA	NA	0	160	2016
180	8/21/2017	NA	161B	ABCO	47	ALIVE	10.6	10	3.4	2.9	0.6	NA	NA	NA	NA	NA	Y	NA	NA	0	161	2017
180	8/21/2017	NA	163B	PIPO	51	ALIVE	7.9	8	9.2	5.8	9.3	NA	NA	NA	NA	NA	Y	NA	NA	0	163	2016
180	8/22/2017	NA	164B	PIPO	28	ALIVE	6.5	6.7	6.1	4.9	2.3	NA	NA	NA	NA	NA	no	NA	NA	0	164	2015
180	8/22/2017	NA	165B	PIPO	44	ALIVE	8.8	8.8	9	5	8.6	NA	NA	NA	NA	NA	yes	NA	NA	0	165	2016
180	8/22/2017	NA	166B	PIPO	53	ALIVE	13.8	13.9	8.6	9.4	9.2	NA	NA	NA	NA	NA	yes	NA	NA	0	166	2016
380	8/25/2017	NA	167B	PIPO	51	ALIVE	11.5	11.5	8.6	6.7	5.8	NA	NA	NA	NA	NA	yes	NA	NA	0	167	2016
380	8/25/2017	NA	168B	PIPO	16	ALIVE	3.8	3.7	2.6	1.6	1.2	NA	NA	NA	NA	NA	yes	NA	NA	0	168	2016
380	8/29/2017	NA	169B	ABCO	16	ALIVE	3	3.3	2	1.3	0.6	NA	NA	NA	NA	NA	yes	NA	NA	0	169	2017
180	8/17/2017	NA	16B	ABCO	19	ALIVE	2.9	2.8	5.3	2.3	0.4	NA	NA	NA	NA	NA	YES	NA	NA	0	16	2017
380	8/25/2017	NA	172B	PIPO	50	ALIVE	8	8.2	9.8	6.5	6	NA	NA	NA	NA	NA	yes	NA	NA	0	172	2017
