Sdlg	Species	Fire	FirePatch	Ht2017.cm.fall	Elevation	Nearby_Easting	Nearby_Northing	Slope.Deg	Aspect.deg	BasDia2016.cm	Datasheet1_2016	Date1_2016	Date2_2016	personel2	personel1	ShrubSpp03	Cov1.3	Ht1.3	Years	DataSheet2017	BasDia2017.mm.1	BasDia2017.mm.2	siteclass	Y	X	incidrad	heatload	Year	VertGrowth_cm	Ht_cm1	FireYear	Ht_cm2
77	ABCO	AMRC	AMRC-2	30	1701	739372	4298304	15	290	0.59	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1080	72.31481481	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	4.5	4.4	4	39.21951777	-120.619532	0.868908769	0.964298006	2017	1	29	2008	30
78	ABCO	AMRC	AMRC-2	39	1701	739372	4298304	15	290	0.83	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1190	77.56302521	9	Shrubs_Summer17_AMRC_2_Sep12	6.8	6.4	4	39.21972962	-120.6195542	0.868906799	0.964296036	2017	3.7	35.3	2008	39
79	ABCO	AMRC	AMRC-2	35	1701	739372	4298304	15	290	0.89	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1190	77.56302521	9	Shrubs_Summer17_AMRC_2_Sep12	8.2	8	4	39.21972962	-120.6195542	0.868906799	0.964296036	2017	2.6	32.4	2008	35
90	ABCO	AMRC	AMRC-2	47	1701	739372	4298304	16	290	1.1	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1160	66.03448276	9	Shrubs_Summer17_AMRC_2_Sep12	8.9	9.2	4	39.21988469	-120.6194261	0.861128853	0.962716575	2017	3.7	43.3	2008	47
94	ABCO	AMRC	AMRC-2	57	1701	739372	4298304	16	290	1.1	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1120	65.44642857	9	Shrubs_Summer17_AMRC_2_Sep12	11.2	11	4	39.21990492	-120.6196689	0.861128665	0.962716386	2017	5	52	2008	57
95	ABCO	AMRC	AMRC-2	63	1701	739372	4298304	16	290	2.21	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1080	77.31481481	9	Shrubs_Summer17_AMRC_2_Sep12	12.3	12.4	4	39.21970265	-120.6197363	0.861130546	0.962718268	2017	0.2	62.8	2008	63
96	ABCO	AMRC	AMRC-2	51	1701	739372	4298304	16	290	1.22	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1080	77.31481481	9	Shrubs_Summer17_AMRC_2_Sep12	7.3	7.4	4	39.21970265	-120.6197363	0.861130546	0.962718268	2017	3.6	47.4	2008	51
97	ABCO	AMRC	AMRC-2	60	1701	739372	4298304	16	299	1.73	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	840	79.16666667	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	16.7	17.4	4	39.22008022	-120.6204713	0.842156423	0.943187283	2017	11	49	2008	60
99	ABCO	AMRC	AMRC-2	44	1672	0	0	19	283	1.15	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1250	92.16	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	9.9	9.2	4	39.22017462	-120.6203027	0.855223022	0.973680179	2017	5.2	38.8	2008	44
104	ABCO	AMRC	AMRC-2	70	1672	0	0	5	192	1.15	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1200	121.6666667	9	Shrubs_Summer17_AMRC_2_Sep12	9.4	8.9	4	39.22001617	-120.6199824	0.992884462	0.987025162	2017	3.9	66.1	2008	70
